Unnamed: 0,serviceCharge,heatingType,newlyConst,balcony,telekomUploadSpeed,totalRent,yearConstructed,scoutId,hasKitchen,cellar,baseRent,livingSpace,condition,petsAllowed,lift,typeOfFlat,noRooms,floorNo,numberOfFloors,garden,regio3,heatingCosts,ParkSpaces,fullAddress,price_category
3936,111.1,central_heating,0,1,40.0,610.9,2017.0,111349895,0,0,499.8,49.0,first_time_use,2,0,apartment,2.0,2.0,4.0,0,Alt_Hohenschönhausen_Hohenschönhausen,70.3,0,"Reichenberger Straße 6, 13055 Berlin, Germany",below_average
3937,210.0,combined_heat_and_power_plant,1,1,40.0,909.0,2019.0,111170631,0,0,699.0,63.0,first_time_use_after_refurbishment,2,0,roof_storey,2.5,3.0,3.0,1,Staaken_Spandau,87.8,1,"Schulstrasse 13 - 21, 13591 Berlin, Germany",below_average
3938,120.0,gas_heating,0,1,10.0,1570.0,1919.0,98709822,1,1,1450.0,85.0,first_time_use,2,0,roof_storey,2.0,5.0,5.0,0,Charlottenburg_Charlottenburg,70.3,0,"Kantstr. 89, 10627 Berlin, Germany",above_average
3939,90.0,floor_heating,1,1,40.0,900.0,2019.0,111373672,1,1,740.0,52.3,first_time_use,2,1,apartment,2.0,3.0,5.0,0,Weißensee_Weißensee,70.0,1,"Charlottenburger Str. 24, 13086 Berlin, Germany",below_average
3940,87.63,central_heating,0,1,10.0,1121.66,1900.0,77202541,0,0,934.72,58.42,refurbished,3,1,apartment,2.0,2.0,5.0,0,Friedrichshain_Friedrichshain,99.3,0,"Simplonstraße 17, 10245 Berlin, Germany",below_average
3941,160.0,central_heating,1,1,32.1,1478.0,2018.0,106340887,1,1,1258.0,74.0,first_time_use,2,1,apartment,3.0,4.0,5.0,0,Neukölln_Neukölln,60.0,0,"Flughafenstraße 72, 12049 Berlin, Germany",above_average
3942,105.0,central_heating,0,0,40.0,914.0,1900.0,110175393,0,0,809.0,33.7,first_time_use,3,0,apartment,1.0,2.0,4.0,0,Kreuzberg_Kreuzberg,35.1,0,"Fidicinstr. 33, 10965 Berlin, Germany",below_average
3943,100.0,self_contained_central_heating,0,0,40.0,974.85,1866.0,114640692,1,1,769.45,79.58,well_kept,2,0,apartment,3.0,3.0,3.0,0,Tiergarten_Tiergarten,105.4,0,"Potsdamer Straße 107, 10785 Berlin, Germany",below_average
3944,230.0,floor_heating,1,1,10.0,1579.0,2018.0,106198377,1,1,1349.0,83.0,first_time_use,2,1,apartment,2.5,7.0,7.0,0,Tiergarten_Tiergarten,87.8,1,"Lehrter Straße 25, 10557 Berlin, Germany",above_average
3945,153.0,central_heating,0,1,40.0,1350.0,1900.0,112818188,1,1,1197.0,63.0,first_time_use_after_refurbishment,2,1,apartment,2.0,2.0,5.0,0,Tiergarten_Tiergarten,70.3,0,"Bochumer Straße 17, 10555 Berlin, Germany",above_average
