Unnamed_0,serviceCharge,heatingType,newlyConst,balcony,telekomUploadSpeed,totalRent,yearConstructed,scoutId,hasKitchen,cellar,baseRent,livingSpace,condition,petsAllowed,lift,typeOfFlat,noRooms,floorNo,numberOfFloors,garden,regio3,heatingCosts,ParkSpaces,fullAddress,bezirk,bezirk_group,flat_group,condition_group
8286,214.6,district_heating,0,1,40,1840.35,1892,108870687,1,1,1625.75,65.03,first_time_use,2,0,apartment,2,3,5,0,Wilmersdorf_Wilmersdorf,70.3,0,"Fasanenstrasse 65, 10719 Berlin, Germany",Wilmersdorf,West,Apartment,New
417,160,central_heating,0,1,40,940,1892,112214284,0,0,780,57.75,first_time_use,2,0,apartment,2,4,4,0,Tiergarten_Tiergarten,55,0,"Rostocker Str. 25, 10553 Berlin, Germany",Tiergarten,Central,Apartment,New
724,200,central_heating,0,0,40,1015,1892,112215538,0,0,815,70.88,first_time_use,2,0,apartment,2,2,6,0,Tiergarten_Tiergarten,70,0,"Rostocker Str. 25, 10553 Berlin, Germany",Tiergarten,Central,Apartment,New
1143,115,central_heating,0,0,40,706,1892,112214291,0,0,591,41.84,first_time_use,2,0,apartment,1.5,2,5,0,Tiergarten_Tiergarten,40,0,"Rostocker Str. 25, 10553 Berlin, Germany",Tiergarten,Central,Apartment,New
2511,280,central_heating,0,1,40,1502,1892,112215567,0,0,1222,101.81,first_time_use,2,0,apartment,3,4,5,0,Tiergarten_Tiergarten,100,0,"Rostocker Str. 25, 10553 Berlin, Germany",Tiergarten,Central,Apartment,New
3012,110,central_heating,0,1,40,671,1892,112214287,0,0,561,39.66,first_time_use,2,0,apartment,1.5,2,6,0,Tiergarten_Tiergarten,40,0,"Rostocker Str. 25, 10553 Berlin, Germany",Tiergarten,Central,Apartment,New
6731,110,central_heating,0,0,40,688,1892,113050221,0,0,578,40.9,first_time_use,2,0,apartment,1.5,1,3,0,Tiergarten_Tiergarten,40,0,"Rostocker Str. 25, 10553 Berlin, Germany",Tiergarten,Central,Apartment,New
2376,294.94,floor_heating,0,1,2.4,2752.74,1892,108357384,1,1,2457.8,122.89,first_time_use_after_refurbishment,3,0,ground_floor,3,1,4,1,Friedrichshagen_Köpenick,105.4,0,"Müggelseedamm 270, 12587 Berlin, Germany",Köpenick,East,Ground Floor,New
6720,433,floor_heating,0,1,40,4822,1892,110911769,1,1,3999,173.43,fully_renovated,2,1,apartment,3,4,5,0,Schöneberg_Schöneberg,390,1,"Passauer Straße 38, 10789 Berlin, Germany",Schöneberg,Central,Apartment,Renovated
1942,100,central_heating,0,0,10,615,1892,111266934,1,1,515,26,first_time_use_after_refurbishment,3,0,apartment,1,2,5,0,Schöneberg_Schöneberg,35.1,0,"Winterfeldtstraße 48, 10781 Berlin, Germany",Schöneberg,Central,Apartment,New
7755,97,central_heating,0,0,40,588,1956,115612167,0,0,491,34.42,first_time_use_after_refurbishment,3,0,apartment,1,1,7,0,Neukölln_Neukölln,26,0,"Harzerstr. 82, 12059 Berlin, Germany",Neukölln,South,Apartment,New
1450,90,central_heating,0,0,40,830,1956,113684756,1,1,680,42,fully_renovated,2,1,apartment,1,1,4,0,Charlottenburg_Charlottenburg,60,0,"Kaiserdamm 36, 14057 Berlin, Germany",Charlottenburg,West,Apartment,Renovated
5154,90,central_heating,0,0,10,830,1956,106612037,1,1,680,42,fully_renovated,2,1,apartment,1,1,4,0,Charlottenburg_Charlottenburg,60,0,"Kaiserdamm 36, 14057 Berlin, Germany",Charlottenburg,West,Apartment,Renovated
