,serviceCharge,heatingType,newlyConst,balcony,telekomUploadSpeed,totalRent,yearConstructed,scoutId,hasKitchen,cellar,baseRent,livingSpace,condition,petsAllowed,lift,typeOfFlat,noRooms,floorNo,numberOfFloors,garden,regio3,heatingCosts,ParkSpaces,fullAddress
614,170.0,gas_heating,False,True,40.0,989.0,1990.0,115690229,True,False,749.0,69.75,well_kept,negotiable,True,apartment,2.0,4.0,6.0,False,Siemensstadt_Spandau,70.0,1,"Wattstraße 4a, 13629 Berlin, Germany"
762,204.0,central_heating,False,False,40.0,1299.0,1959.0,106347457,True,False,1013.0,68.06,first_time_use_after_refurbishment,negotiable,True,apartment,3.0,0.0,5.0,False,Tiergarten_Tiergarten,82.0,0,"Wilhelmshavener Straße 11, 10551 Berlin, Germany"
782,700.0,central_heating,False,True,40.0,2500.0,1998.0,113669780,True,True,1720.0,220.0,refurbished,negotiable,False,roof_storey,4.0,4.0,5.0,True,Britz_Neukölln,350.0,1,"Franz-Körner-Straße 99, 12347 Berlin, Germany"
810,154.0,central_heating,False,False,2.4,604.0,1980.0,107322178,True,True,450.0,40.0,first_time_use,negotiable,False,other,1.5,2.0,2.0,False,Buch_Pankow,52.68991963626681,0,"Röbellweg 26, 13125 Berlin, Germany"
848,91.74,floor_heating,False,True,32.13564239968631,1406.68,1980.0,107340460,True,False,1253.78,61.16,first_time_use,no,True,apartment,2.0,8.0,11.0,False,Friedrichshain_Friedrichshain,61.16,0,"Stralauer Platz 37/38, 10243 Berlin, Germany"
853,186.96,district_heating,False,True,40.0,822.97,1997.0,107378502,True,True,636.01,68.75,well_kept,no,False,apartment,3.0,3.0,4.0,False,Karow_Weißensee,64.24,0,"Forkenzeile 22, 13125 Berlin, Germany"
867,80.0,central_heating,False,True,10.0,1300.0,1958.0,108177922,True,True,1150.0,49.39,first_time_use,no,False,apartment,2.0,3.0,4.0,False,Mitte_Mitte,70.0,0,"Pflugstraße 18, 10115 Berlin, Germany"
957,115.0,district_heating,False,False,40.0,545.0,1912.0,107048866,False,False,430.0,36.08,first_time_use,no,False,apartment,1.0,3.0,5.0,False,Wilmersdorf_Wilmersdorf,35.126613090844536,0,"Westfälische Str. 57, 10711 Berlin, Germany"
986,150.0,central_heating,False,True,40.0,1200.0,1910.0,115691712,True,True,1050.0,53.0,modernized,no,False,roof_storey,2.0,5.0,5.0,False,Neukölln_Neukölln,70.25322618168907,0,"Sander Strasse 3, 12047 Berlin, Germany"
995,90.0,district_heating,False,True,40.0,899.0,1933.0,113058948,True,False,764.0,46.34,first_time_use,no,False,apartment,2.0,3.0,4.0,False,Reinickendorf_Reinickendorf,45.0,0,"Zermatter Straße 10, 13407 Berlin, Germany"
1027,115.0,self_contained_central_heating,False,False,10.0,1095.0,1900.0,66012954,True,True,980.0,93.0,fully_renovated,negotiable,False,apartment,2.0,3.0,4.0,False,Wedding_Wedding,70.25322618168907,0,"Kolberger Straße 16, 13357 Berlin, Germany"
1029,228.79,district_heating,False,True,40.0,1710.1,1992.0,112590971,True,False,1387.36,95.68,well_kept,negotiable,True,apartment,2.0,3.0,8.0,False,Charlottenburg_Charlottenburg,95.33,0,"Meinekestraße  21, 10719 Berlin, Germany"
1044,300.0,floor_heating,False,True,10.0,1190.0,2016.0,107322422,True,True,890.0,83.0,mint_condition,no,True,apartment,3.0,2.0,3.0,True,Französisch_Buchholz_Pankow,105.37983927253362,1,"Rupertweg 1, 13127 Berlin, Germany"
1077,90.0,central_heating,False,False,10.0,890.0,1910.0,107335223,True,True,800.0,49.0,first_time_use_after_refurbishment,no,False,apartment,2.0,0.0,7.0,False,Wedding_Wedding,70.25322618168907,0,"Togostraße 75, 13351 Berlin, Germany"
1080,445.15,district_heating,False,True,40.0,1688.94,1995.0,111391755,True,False,1243.79,120.44,fully_renovated,no,False,roof_storey,5.0,4.0,6.0,False,Wittenau_Reinickendorf,157.66,0,"Triftstr. 3D, 13437 Berlin, Germany"
1085,100.05,central_heating,False,True,40.0,478.74,1977.0,107067726,False,False,311.99,43.88,first_time_use,no,True,apartment,1.0,6.0,6.0,False,Neukölln_Neukölln,66.7,1,"Heinrich-Schlusnus-Straße  7, 12057 Berlin, Germany"
1135,210.0,floor_heating,False,True,40.0,1200.0,2016.0,94643275,True,True,990.0,59.54,mint_condition,no,True,apartment,2.0,1.0,7.0,False,Mitte_Mitte,80.0,0,"Krausenstraße 37, 10117 Berlin, Germany"
1160,50.0,central_heating,False,True,32.13564239968631,690.0,1980.0,111417811,True,False,640.0,11.0,modernized,no,False,apartment,1.0,5.0,6.0,False,Tiergarten_Tiergarten,35.126613090844536,0,"Klara Franke Strasse 8, 10557 Berlin, Germany"
1180,205.74,central_heating,False,False,2.4,1783.08,1915.0,115694712,True,False,1577.34,68.58,refurbished,no,True,apartment,2.0,2.0,4.0,False,Mitte_Mitte,102.87,0,"Invalidenstrasse 6, 10115 Berlin, Germany"
