,serviceCharge,heatingType,newlyConst,balcony,telekomUploadSpeed,totalRent,yearConstructed,scoutId,hasKitchen,cellar,baseRent,livingSpace,condition,petsAllowed,lift,typeOfFlat,noRooms,floorNo,numberOfFloors,garden,regio3,heatingCosts,ParkSpaces,fullAddress
77746,133.32,district_heating,True,True,40.0,1359.86,2019.0,115136875,True,True,1159.88,66.66,first_time_use,negotiable,True,apartment,2.0,2.0,5.0,False,Tiergarten_Tiergarten,66.66,0,"Heidestraße 19, 10557 Berlin, Germany"
77750,200.0,self_contained_central_heating,False,False,40.0,2190.0,1893.0,106458296,True,True,1990.0,195.2,well_kept,negotiable,False,apartment,6.0,1.0,4.0,True,Schöneberg_Schöneberg,210.75967854506723,0,"Wielandstraße 14, 12159 Berlin, Germany"
77757,65.0,central_heating,False,True,10.0,436.0,1964.0,40998931,False,True,326.0,32.0,first_time_use_after_refurbishment,no,False,apartment,1.0,3.0,3.0,False,Britz_Neukölln,45.0,0,"Suderoder Straße 30, 12347 Berlin, Germany"
77791,247.0,central_heating,False,True,40.0,2397.5,2002.0,115217896,True,True,1997.5,200.95,refurbished,negotiable,True,roof_storey,4.0,5.0,5.0,False,Plänterwald_Treptow,153.0,0,"Klinger Straße 2, 12435 Berlin, Germany"
77801,204.0,central_heating,False,True,40.0,1094.0,1969.0,111261031,False,False,890.0,85.2,modernized,no,True,apartment,2.0,5.0,7.0,False,Charlottenburg_Charlottenburg,0.0,1,"Bismarckstr. 4, 10625 Berlin, Germany"
77824,233.0,gas_heating,False,True,40.0,665.84,1985.0,114316752,False,False,432.84,51.75,first_time_use,no,True,apartment,1.5,3.0,6.0,False,Tegel_Reinickendorf,81.0,0,"Bernauer Str. 141-145, 13507 Berlin, Germany"
77861,274.02,floor_heating,True,True,40.0,1800.68,2018.0,110760372,True,True,1526.66,78.29,first_time_use,negotiable,True,apartment,3.0,7.0,7.0,False,Tiergarten_Tiergarten,105.37983927253362,1,"Lützowufer 2, 10787 Berlin, Germany"
77913,147.0,central_heating,False,False,40.0,1395.0,1906.0,112401618,False,False,1248.0,52.0,first_time_use,negotiable,True,apartment,1.0,0.0,0.0,False,Prenzlauer_Berg_Prenzlauer_Berg,35.126613090844536,0,"Rykestr. 50, 10405 Berlin, Germany"
77919,290.0,district_heating,False,False,10.0,1604.36,1900.0,101984896,True,True,1314.36,97.36,well_kept,no,True,apartment,3.0,3.0,5.0,False,Friedenau_Schöneberg,105.37983927253362,0,"Odenwaldstraße 9, 12161 Berlin, Germany"
77940,75.0,central_heating,False,False,2.4,831.0,1980.0,57020642,False,False,696.0,58.8,first_time_use,negotiable,False,apartment,2.0,2.0,5.0,False,Tempelhof_Tempelhof,60.0,0,"Tempelhofer Damm 4, 12101 Berlin, Germany"
77948,135.0,district_heating,False,False,40.0,1014.34,1980.0,64108142,False,False,746.34,71.08,need_of_renovation,negotiable,True,apartment,3.0,2.0,5.0,False,Tempelhof_Tempelhof,133.0,1,"Podewilsstr. 2, 12103 Berlin, Germany"
77981,189.78,district_heating,False,True,40.0,733.06,1931.0,111417522,False,True,543.28,52.44,modernized,no,False,apartment,2.0,2.0,3.0,False,Zehlendorf_Zehlendorf,77.3,0,"Onkel-Tom-Str. 108, 14169 Berlin, Germany"
77990,545.0,district_heating,False,True,40.0,3295.0,2017.0,115692224,True,True,2750.0,168.86,mint_condition,no,True,apartment,4.0,4.0,5.0,True,Kreuzberg_Kreuzberg,140.50645236337814,1,"Neuenburger Straße 19, 10969 Berlin, Germany"
78045,150.0,floor_heating,False,True,40.0,2650.0,2015.0,115515139,True,True,2350.0,104.0,first_time_use_after_refurbishment,no,True,apartment,3.0,1.0,5.0,False,Wilmersdorf_Wilmersdorf,150.0,1,"Württembergische Straße 45, 10707 Berlin, Germany"
78055,90.0,central_heating,False,True,40.0,639.0,1997.0,111653638,False,False,499.0,45.31,refurbished,negotiable,True,roof_storey,2.0,5.0,5.0,False,Heinersdorf_Weißensee,50.0,0,"Prenzlauer Promenade 47b, 13089 Berlin, Germany"
78061,287.0,central_heating,False,True,40.0,2518.0,1912.0,109869643,False,False,2231.0,123.97,first_time_use,no,True,apartment,4.0,2.0,6.0,False,Wilmersdorf_Wilmersdorf,140.50645236337814,0,"Fasanenstr. 42, 10719 Berlin, Germany"
78116,215.54,floor_heating,True,True,40.0,1290.54,2019.0,113852306,True,True,1075.0,53.75,first_time_use,no,True,apartment,2.0,3.0,5.0,False,Tiergarten_Tiergarten,70.25322618168907,0,"Lehrter Str. 23, 10557 Berlin, Germany"
78118,352.72,central_heating,False,False,40.0,1837.84,1996.0,113705969,True,False,1485.12,92.82,first_time_use,negotiable,True,apartment,3.0,4.0,5.0,False,Mitte_Mitte,105.37983927253362,0,"Schumannstraße 19, 10117 Berlin, Germany"
78141,100.0,central_heating,False,True,2.4,665.24,1930.0,114622741,False,False,495.24,66.78,well_kept,negotiable,False,raised_ground_floor,3.0,0.0,3.0,True,Weißensee_Weißensee,70.0,0,"Gustav-Adolf-Straße 96, 13086 Berlin, Germany"
78181,113.0,central_heating,False,False,40.0,1363.0,1881.0,107005085,True,True,1144.0,84.68,modernized,no,True,apartment,3.0,3.0,4.0,False,Mitte_Mitte,106.0,0,"Münzstraße 5, 10178 Berlin, Germany"
78222,92.1,central_heating,False,True,40.0,1078.88,1908.0,115455669,False,True,926.78,63.96,first_time_use_after_refurbishment,negotiable,False,apartment,2.0,1.0,4.0,False,Prenzlauer_Berg_Prenzlauer_Berg,60.0,0,"Greifenhagener Str. 28, 10437 Berlin, Germany"
78226,226.0,district_heating,False,True,40.0,975.0,1985.0,111174066,False,True,749.0,90.14,modernized,no,True,apartment,3.0,2.0,4.0,False,Hellersdorf_Hellersdorf,107.0,0,"Stendaler Str. 81, 12627 Berlin, Germany"
78244,290.0,gas_heating,False,True,40.0,2140.0,1907.0,94670736,True,False,1850.0,102.0,first_time_use_after_refurbishment,no,True,roof_storey,3.0,5.0,5.0,False,Wilmersdorf_Wilmersdorf,105.37983927253362,1,"Johann-Sigismund-Straße 7, 10711 Berlin, Germany"
78265,156.17,central_heating,False,True,40.0,1005.17,2015.0,111660142,True,True,849.0,67.71,well_kept,negotiable,True,maisonette,2.0,2.0,6.0,False,Adlershof_Treptow,70.25322618168907,1,"Gross- Berliner- Damm 132-134, 12489 Berlin, Germany"
78315,250.0,district_heating,False,True,40.0,1745.0,2017.0,112755801,True,True,1495.0,94.0,first_time_use,negotiable,True,apartment,3.0,6.0,7.0,True,Wilmersdorf_Wilmersdorf,105.37983927253362,1,"Berlinerstr 136, 10715 Berlin, Germany"
78322,172.0,central_heating,False,True,40.0,672.0,1980.0,115696216,True,True,500.0,40.0,first_time_use,yes,True,apartment,1.0,2.0,4.0,True,Grunewald_Wilmersdorf,35.126613090844536,0,"Caspar-Theyss- Strasse 26, 14193 Berlin, Germany"
78347,328.9,central_heating,False,False,10.0,1933.3,1996.0,106328308,True,True,1604.4,80.0,mint_condition,no,True,apartment,3.0,8.0,8.0,False,Mitte_Mitte,105.37983927253362,0,"Friedrichstraße 67, 10117 Berlin, Germany"
78382,135.0,district_heating,False,True,40.0,968.5,1997.0,115666220,True,True,709.5,90.06,well_kept,negotiable,True,ground_floor,3.0,0.0,5.0,False,Tegel_Reinickendorf,124.0,1,"Veitstraße 32, 13507 Berlin, Germany"
78389,74.0,central_heating,False,True,40.0,1466.0,1900.0,110442410,True,True,1357.0,49.31,first_time_use_after_refurbishment,yes,True,apartment,2.0,4.0,7.0,True,Prenzlauer_Berg_Prenzlauer_Berg,35.0,1,"Rykestraße 50, 10405 Berlin, Germany"
78414,309.0,district_heating,False,True,40.0,1280.0,1960.0,113010562,True,True,971.0,53.0,fully_renovated,no,False,apartment,2.0,1.0,5.0,True,Tiergarten_Tiergarten,70.25322618168907,0,"Erasmusstr. 9, 10553 Berlin, Germany"
78419,245.82,district_heating,False,True,40.0,989.61,1997.0,113808889,True,True,743.79,84.33,well_kept,no,False,apartment,4.0,2.0,4.0,False,Karow_Weißensee,82.56,0,"Achillesstr. 92, 13125 Berlin, Germany"
78426,480.0,central_heating,False,True,40.0,1975.0,1914.0,113867851,False,True,1495.0,162.0,fully_renovated,negotiable,False,apartment,5.0,1.0,4.0,True,Tegel_Reinickendorf,235.0,0,"Tile-Brügge-Weg 17, 13509 Berlin, Germany"
78448,196.04,district_heating,True,True,40.0,2107.43,2019.0,113653031,True,False,1813.37,98.02,first_time_use,negotiable,True,ground_floor,3.0,0.0,5.0,True,Tiergarten_Tiergarten,98.02,0,"Heidestraße 19, 10557 Berlin, Germany"
78460,188.0,central_heating,False,True,40.0,620.0,1965.0,109534342,False,True,432.0,43.0,first_time_use_after_refurbishment,negotiable,False,apartment,1.0,2.0,3.0,True,Reinickendorf_Reinickendorf,35.126613090844536,1,"Eichborndamm 55, 13403 Berlin, Germany"
78523,155.0,self_contained_central_heating,False,True,40.0,1145.0,1990.0,113702441,False,False,990.0,86.0,first_time_use_after_refurbishment,negotiable,False,apartment,2.0,1.0,5.0,False,Wedding_Wedding,70.25322618168907,0,"Lüderitztraße 3, 13351 Berlin, Germany"
78637,214.0,central_heating,False,True,40.0,3002.0,1900.0,113353445,True,True,2584.0,163.19,first_time_use_after_refurbishment,no,True,apartment,5.0,3.0,3.0,True,Charlottenburg_Charlottenburg,204.0,0,"Niebuhrstraße 61, 10629 Berlin, Germany"
78664,125.0,self_contained_central_heating,False,False,40.0,1275.0,1900.0,112865202,False,True,1150.0,75.6,first_time_use_after_refurbishment,no,False,apartment,2.0,1.0,5.0,False,Friedrichshain_Friedrichshain,70.25322618168907,0,"Frankfurter Allee 33, 10247 Berlin, Germany"
78696,350.0,floor_heating,False,True,10.0,2950.0,2012.0,91590411,True,True,2600.0,174.0,mint_condition,no,True,loft,5.0,5.0,7.0,True,Mitte_Mitte,175.63306545422267,0,"Boyenstr. 26, 10115 Berlin, Germany"
78712,120.0,central_heating,False,True,40.0,1929.0,1864.0,113743860,True,True,1699.0,94.33,first_time_use_after_refurbishment,no,False,apartment,3.0,2.0,4.0,False,Mitte_Mitte,110.0,0,"Melchiorstraße 3, 10179 Berlin, Germany"
78735,54.03,central_heating,False,True,40.0,374.69,1985.0,113866287,False,False,288.6,34.34,first_time_use,no,True,apartment,1.0,8.0,11.0,False,Marzahn_Marzahn,32.06,0,"Wörlitzer Straße 12, 12689 Berlin, Germany"
78764,80.0,central_heating,False,True,40.0,895.0,1997.0,113430357,True,False,735.0,73.0,well_kept,negotiable,False,apartment,3.0,1.0,3.0,False,Köpenick_Köpenick,80.0,0,"Salvador-Allende-Str. 76U, 12559 Berlin, Germany"
78773,123.0,floor_heating,False,True,32.13564239968631,1074.25,2014.0,115672801,True,True,1042.75,83.89,well_kept,negotiable,True,apartment,2.0,3.0,4.0,False,Köpenick_Köpenick,120.0,0,"Am Werksgarten 4, 12555 Berlin, Germany"
78775,350.0,district_heating,False,True,10.0,1550.0,2008.0,105891556,False,True,1200.0,91.0,well_kept,negotiable,False,other,3.0,2.0,2.0,True,Staaken_Spandau,105.37983927253362,1,"Am Wäldchen 12, 13591 Berlin, Germany"
78779,370.0,central_heating,False,False,40.0,2040.0,2000.0,114521423,True,True,1670.0,92.0,mint_condition,no,True,apartment,3.0,10.0,10.0,False,Tiergarten_Tiergarten,105.37983927253362,1,"Potsdamer Straße 4, 10785 Berlin, Germany"
78815,80.0,central_heating,False,True,5.0,775.0,1900.0,91225837,False,True,650.0,45.89,well_kept,no,True,apartment,1.0,1.0,5.0,False,Prenzlauer_Berg_Prenzlauer_Berg,45.0,0,"Ueckermünder Straße 7, 10439 Berlin, Germany"
78820,155.0,self_contained_central_heating,False,True,40.0,1461.2532261816891,1904.0,89018037,False,False,1236.0,88.29,fully_renovated,negotiable,False,roof_storey,2.0,4.0,5.0,False,Friedrichshain_Friedrichshain,70.25322618168907,0,"Petersburger Straße 41, 10249 Berlin, Germany"
78823,295.0,self_contained_central_heating,False,True,40.0,1911.0,1900.0,115668648,True,False,1616.0,134.7,first_time_use,no,False,apartment,5.0,1.0,7.0,False,Neukölln_Neukölln,175.63306545422267,0,"Hertzbergstr. 29, 12055 Berlin, Germany"
78826,164.67,district_heating,False,True,40.0,498.66,1964.0,113861607,False,False,333.99,42.17,first_time_use,no,False,ground_floor,1.0,0.0,5.0,False,Reinickendorf_Reinickendorf,54.27,0,"Brusebergstr. 16, 13407 Berlin, Germany"
78862,173.82,district_heating,False,True,40.0,565.94,1965.0,115180511,False,True,392.12,45.02,first_time_use,no,True,apartment,1.0,8.0,2.0,False,Spandau_Spandau,55.96,0,"Westerwaldstr. 1, 13589 Berlin, Germany"
78898,80.0,central_heating,False,False,2.4,1149.0,1900.0,110773646,False,False,999.0,64.16,refurbished,no,False,ground_floor,2.0,0.0,4.0,False,Prenzlauer_Berg_Prenzlauer_Berg,70.0,0,"Ibsenstraße 16, 10439 Berlin, Germany"
78906,90.0,self_contained_central_heating,False,True,10.0,710.0,1896.0,96379559,True,True,620.0,66.0,well_kept,no,False,ground_floor,2.0,0.0,5.0,False,Schöneberg_Schöneberg,70.25322618168907,0,"Rembrandtstraße 10, 12157 Berlin, Germany"
78916,90.72,central_heating,False,False,10.0,847.81,1929.0,105193812,False,False,720.0,60.0,refurbished,negotiable,False,apartment,2.0,1.0,3.0,False,Schmargendorf_Wilmersdorf,37.09,0,"Hohenzollerndamm 73a, 14199 Berlin, Germany"
78933,250.0,central_heating,False,True,10.0,1450.0,2007.0,42703625,True,False,1200.0,63.0,mint_condition,negotiable,True,apartment,2.0,2.0,6.0,False,Mitte_Mitte,70.25322618168907,0,"Caroline-von-Humboldt-Weg 8, 10117 Berlin, Germany"
78955,224.7,district_heating,False,True,40.0,698.76,1989.0,115636362,False,True,474.06,70.44,modernized,no,True,apartment,3.0,10.0,4.0,False,Hellersdorf_Hellersdorf,86.78,0,"Alte Hellersdorfer Str. 127, 12629 Berlin, Germany"
79005,150.0,floor_heating,True,True,40.0,1300.0,2019.0,115688640,False,True,1150.0,60.2,first_time_use,no,True,apartment,2.0,2.0,4.0,False,Mitte_Mitte,70.25322618168907,0,"Stallschreiberstraße 32, 10179 Berlin, Germany"
79021,150.0,combined_heat_and_power_plant,True,True,32.13564239968631,890.0,2018.0,109400219,False,True,660.0,55.75,first_time_use,no,True,apartment,2.0,1.0,4.0,True,Spandau_Spandau,70.25322618168907,0,"Mertensstr. 13e, 13587 Berlin, Germany"
79137,190.0,gas_heating,False,True,40.0,838.0,2000.0,105700942,True,False,648.0,53.96,well_kept,no,True,apartment,2.0,3.0,4.0,True,Köpenick_Köpenick,72.0,0,"Stellingdamm 7, 12555 Berlin, Germany"
79171,140.0,central_heating,False,True,40.0,630.98,1980.0,109645532,False,True,425.98,59.0,first_time_use,no,True,raised_ground_floor,2.0,2.0,6.0,False,Neukölln_Neukölln,64.0,0,"Schierker Straße 31, 12051 Berlin, Germany"
79231,209.0,central_heating,False,False,40.0,1696.0,1980.0,115185845,True,False,1395.0,123.97,first_time_use,negotiable,False,ground_floor,5.0,0.0,5.0,False,Mariendorf_Tempelhof,92.0,0,"Machonstraße 17, 12105 Berlin, Germany"
79250,100.0,central_heating,False,True,40.0,579.0,1900.0,83172660,False,False,479.0,51.0,modernized,negotiable,False,apartment,2.0,2.0,4.0,False,Reinickendorf_Reinickendorf,31.0,0,"Letteallee 87, 13409 Berlin, Germany"
79257,170.0,central_heating,False,True,2.4,880.0,1959.0,111064717,True,True,710.0,60.0,first_time_use_after_refurbishment,negotiable,True,apartment,2.0,2.0,5.0,False,Wedding_Wedding,70.25322618168907,0,"Greenwicher Straße 17, 13349 Berlin, Germany"
79281,197.0,district_heating,False,False,40.0,832.0,1968.0,107339332,False,False,635.0,57.61,first_time_use_after_refurbishment,no,True,apartment,2.0,5.0,6.0,False,Schöneberg_Schöneberg,96.0,0,"Wartburgstr. 38, 10823 Berlin, Germany"
79315,275.0,floor_heating,False,True,40.0,1075.0,1980.0,106022541,True,True,800.0,73.25,first_time_use_after_refurbishment,yes,False,terraced_flat,2.0,3.0,4.0,False,Niederschöneweide_Treptow,70.25322618168907,0,"Britzer Straße 19a, 12439 Berlin, Germany"
79369,79.44,district_heating,True,True,40.0,699.8100000000001,2019.0,113690032,False,True,578.0,52.96,well_kept,no,True,other,2.0,11.0,4.0,False,Marzahn_Marzahn,42.37,0,"Kienbergstr. 21, 12685 Berlin, Germany"
79393,255.0,floor_heating,False,False,32.13564239968631,1240.0,1980.0,112968305,True,True,985.0,82.1,first_time_use,no,True,ground_floor,2.0,0.0,5.0,False,Köpenick_Köpenick,70.25322618168907,0,"Friedrichshagener Straße 2, 12555 Berlin, Germany"
79415,100.0,combined_heat_and_power_plant,True,False,10.0,599.0,2018.0,100542224,True,False,599.0,20.0,first_time_use,no,True,apartment,1.0,1.0,6.0,False,Kreuzberg_Kreuzberg,0.0,0,"Dudenstraße 80, 10965 Berlin, Germany"
79500,271.5,gas_heating,False,True,40.0,833.37,1964.0,110815737,False,False,561.87,67.62,fully_renovated,no,True,apartment,2.0,1.0,3.0,False,Reinickendorf_Reinickendorf,87.03,0,"Brusebergstr. 24, 13407 Berlin, Germany"
79508,182.1,central_heating,False,True,40.0,961.48,1980.0,113166183,False,True,779.38,62.35,first_time_use,negotiable,False,apartment,2.0,1.0,4.0,False,Karow_Weißensee,70.25322618168907,0,"Hofzeichendamm 13b
, 13125 Berlin, Germany"
79522,190.0,gas_heating,False,True,10.0,1500.0,1998.0,103510257,True,True,1310.0,94.68,well_kept,yes,True,roof_storey,2.5,4.0,4.0,False,Lichterfelde_Steglitz,87.81653272711134,0,"Ferdinandstr. 32, 12209 Berlin, Germany"
79608,80.0,district_heating,False,True,40.0,1250.0,1930.0,111047561,True,False,1100.0,51.13,first_time_use,no,False,ground_floor,2.0,1.0,4.0,False,Prenzlauer_Berg_Prenzlauer_Berg,70.0,0,"Margarete-Walter-Straße 8, 10407 Berlin, Germany"
79647,120.0,central_heating,False,False,40.0,670.0,1907.0,113818164,True,True,550.0,50.0,well_kept,yes,False,apartment,2.0,1.0,4.0,True,Oberschöneweide_Köpenick,60.0,0,"Rathenaustraße 6, 12459 Berlin, Germany"
79656,106.5,district_heating,True,True,40.0,917.0,2019.0,112723790,False,True,756.0,70.0,first_time_use,negotiable,True,apartment,3.0,2.0,6.0,False,Alt_Hohenschönhausen_Hohenschönhausen,56.8,0,"Genslerstraße 16, 13055 Berlin, Germany"
79689,505.0,central_heating,False,True,10.0,3200.0,1998.0,109144172,True,True,2500.0,229.8,well_kept,no,True,apartment,4.0,2.0,3.0,False,Köpenick_Köpenick,195.0,0,"Möllhausenufer 08, 12557 Berlin, Germany"
79694,500.0,floor_heating,False,False,40.0,2000.0,2003.0,114041689,True,True,1500.0,98.0,first_time_use,no,True,other,3.0,6.0,1.0,False,Mitte_Mitte,105.37983927253362,1,"Neustädtische Kirchstraße 7, 10117 Berlin, Germany"
79756,228.0,district_heating,False,False,40.0,1308.0,1996.0,111046333,True,False,1080.0,60.0,first_time_use,negotiable,True,apartment,2.0,4.0,5.0,False,Mitte_Mitte,70.25322618168907,0,"Luisenstraße 48, 10117 Berlin, Germany"
79759,120.0,central_heating,False,True,10.0,1344.0,1918.0,100724712,False,False,1164.0,86.2,first_time_use_after_refurbishment,negotiable,False,terraced_flat,3.0,0.0,2.0,False,Charlottenburg_Charlottenburg,60.0,0,"Cauerstraße 23, 10587 Berlin, Germany"
79763,73.56,floor_heating,False,True,32.13564239968631,845.94,1980.0,113289458,True,True,735.6,36.78,first_time_use,no,True,roof_storey,1.0,6.0,6.0,False,Niederschöneweide_Treptow,36.78,0,"Schnellerstr. 103, 12439 Berlin, Germany"
79849,181.01,district_heating,False,True,40.0,1336.0,1968.0,115329901,False,False,1013.99,95.21,refurbished,no,True,ground_floor,3.5,0.0,6.0,False,Steglitz_Steglitz,141.0,1,"Brentanostr. 30, 12163 Berlin, Germany"
79878,226.0,district_heating,False,True,40.0,885.0,1996.0,109240732,True,True,659.0,76.6,modernized,no,False,apartment,3.0,3.0,6.0,False,Hellersdorf_Hellersdorf,134.0,0,"Janusz-Korczak-Str. 19, 12627 Berlin, Germany"
79945,197.6,central_heating,False,True,32.13564239968631,703.63,1987.0,111388625,False,False,506.03,83.5,first_time_use,no,False,apartment,4.0,4.0,2.0,False,Neu_Hohenschönhausen_Hohenschönhausen,140.50645236337814,0,"Zingster Str. 25, 13051 Berlin, Germany"
79951,117.33,floor_heating,False,True,40.0,1838.17,1980.0,106321042,True,False,1642.62,78.22,first_time_use,no,True,apartment,3.0,5.0,11.0,False,Friedrichshain_Friedrichshain,78.22,0,"Stralauer Platz 35, 10243 Berlin, Germany"
79981,166.31,central_heating,False,True,40.0,785.9,1995.0,110876910,True,True,561.2,72.32,well_kept,negotiable,True,apartment,2.0,5.0,4.0,False,Niederschönhausen_Pankow,58.39,0,"Sommerstr. 24, 13409 Berlin, Germany"
80095,50.0,central_heating,False,False,32.13564239968631,670.0,1980.0,113869092,True,False,620.0,11.0,modernized,no,False,apartment,1.0,1.0,5.0,False,Tiergarten_Tiergarten,35.126613090844536,0,"Klara Franke Straße 16, 10557 Berlin, Germany"
80120,370.0,central_heating,False,True,40.0,2219.0,2016.0,114844704,True,False,1849.0,99.15,mint_condition,negotiable,True,apartment,3.0,6.0,7.0,False,Prenzlauer_Berg_Prenzlauer_Berg,105.37983927253362,0,"Danziger Straße 77, 10405 Berlin, Germany"
80210,90.0,central_heating,False,False,40.0,599.0,1980.0,110952454,True,False,509.0,23.15,first_time_use,no,False,apartment,1.0,1.0,5.0,False,Wedding_Wedding,35.126613090844536,0,"Gerichtstrasse 65, 13347 Berlin, Germany"
80230,285.38,central_heating,True,True,32.13564239968631,1503.7198392725338,2018.0,112110149,False,False,1112.96,114.15,first_time_use,no,True,roof_storey,3.0,2.0,7.0,False,Spandau_Spandau,105.37983927253362,0,"Pepitapromenade 21, 13587 Berlin, Germany"
80265,195.0,central_heating,False,True,40.0,2260.0,1980.0,115606239,True,False,1955.0,108.0,first_time_use_after_refurbishment,negotiable,True,roof_storey,4.0,5.0,5.0,False,Tiergarten_Tiergarten,110.0,1,"Alt Moabit 48, 10555 Berlin, Germany"
80266,273.0,floor_heating,False,True,10.0,1899.0,1980.0,111256331,True,False,1626.0,124.0,mint_condition,no,True,roof_storey,3.0,0.0,5.0,False,Kreuzberg_Kreuzberg,105.37983927253362,0,"Gneisenaustr. 109-110, 10961 Berlin, Germany"
80277,160.0,floor_heating,False,True,40.0,1255.0,2018.0,115089202,True,True,1095.0,57.93,modernized,negotiable,True,apartment,2.0,6.0,4.0,False,Friedrichshain_Friedrichshain,70.25322618168907,1,"Siegfried-Hirschmann-Park 10, 10245 Berlin, Germany"
80285,190.0,central_heating,False,True,40.0,1117.94,1980.0,111414385,True,True,787.94,83.38,first_time_use,yes,True,apartment,3.0,3.0,5.0,False,Steglitz_Steglitz,140.0,0,"Brentanostraße 26-30, 12163 Berlin, Germany"
80289,240.0,central_heating,False,True,40.0,1295.19,1996.0,110618071,True,True,1055.19,103.48,well_kept,negotiable,True,apartment,4.0,5.0,5.0,False,Alt_Hohenschönhausen_Hohenschönhausen,140.50645236337814,0,"Plauener Straße 46, 13055 Berlin, Germany"
80306,0.0,combined_heat_and_power_plant,True,True,32.13564239968631,995.0,2019.0,93809145,True,True,995.0,40.8,mint_condition,no,True,roof_storey,1.0,4.0,4.0,False,Grünau_Köpenick,0.0,0,"Relingstr. 46, 12527 Berlin, Germany"
80307,50.0,district_heating,False,False,40.0,416.0,1907.0,69854897,False,False,330.0,36.0,modernized,negotiable,False,apartment,1.0,2.0,4.0,False,Tiergarten_Tiergarten,30.0,0,"Huttenstrasse 38, 10553 Berlin, Germany"
80438,90.0,central_heating,False,False,32.13564239968631,695.0,1900.0,111205992,True,True,563.0,43.3,well_kept,no,False,apartment,2.0,1.0,4.0,False,Wedding_Wedding,42.0,0,"Kattegatstraße 7, 13359 Berlin, Germany"
80440,118.0,central_heating,False,False,40.0,786.0,1980.0,113343869,True,False,668.0,30.38,first_time_use,no,False,apartment,1.0,5.0,2.0,False,Wedding_Wedding,35.126613090844536,0,"Gerichtstraße 65-68, 13347 Berlin, Germany"
80456,99.0,central_heating,False,False,10.0,723.0,1980.0,111212563,False,True,557.0,66.0,fully_renovated,negotiable,False,raised_ground_floor,3.0,2.0,2.0,False,Wittenau_Reinickendorf,67.0,0,"Techowpromenade 61, 13437 Berlin, Germany"
80528,126.0,central_heating,False,True,32.13564239968631,1387.0,2016.0,106844505,False,True,1138.0,87.0,mint_condition,negotiable,False,apartment,3.0,1.0,5.0,False,Lichtenberg_Lichtenberg,123.0,1,"Schreiberhauerstr. 23, 10317 Berlin, Germany"
80627,180.0,floor_heating,False,True,40.0,5340.0,2017.0,113073555,True,True,4800.0,179.87,mint_condition,no,True,roof_storey,5.0,7.0,7.0,True,Mitte_Mitte,360.0,1,"Kommandantenstraße 79, 10117 Berlin, Germany"
80641,260.0,central_heating,False,True,40.0,2229.0,1908.0,113054451,True,False,1811.0,142.0,well_kept,negotiable,True,roof_storey,3.0,4.0,4.0,False,Charlottenburg_Charlottenburg,158.0,0,"Otto-Suhr-Allee 145, 10585 Berlin, Germany"
80667,150.0,self_contained_central_heating,False,False,2.4,1025.0,1933.0,112904069,False,False,875.0,97.0,well_kept,negotiable,False,ground_floor,3.0,0.0,3.0,False,Siemensstadt_Spandau,105.37983927253362,0,"Ohmstraße 7, 13629 Berlin, Germany"
80696,170.0,central_heating,False,True,10.0,2490.0,1904.0,106765810,True,True,2170.0,146.86,refurbished,no,False,roof_storey,5.0,5.0,5.0,False,Charlottenburg_Charlottenburg,150.0,0,"Nehringstraße 11, 14059 Berlin, Germany"
80721,163.14,district_heating,True,True,40.0,1774.15,2019.0,114583287,True,True,1529.44,81.57,first_time_use,negotiable,True,apartment,3.0,4.0,6.0,False,Tiergarten_Tiergarten,81.57,0,"Heidestraße 19, 10557 Berlin, Germany"
80783,280.0,central_heating,False,True,40.0,1502.0,1892.0,112215567,False,False,1222.0,101.81,first_time_use,no,False,apartment,3.0,4.0,5.0,False,Tiergarten_Tiergarten,100.0,0,"Rostocker Str. 25, 10553 Berlin, Germany"
80785,259.04,district_heating,False,True,40.0,688.91,1982.0,109754997,False,True,429.87,74.76,well_kept,no,True,ground_floor,2.0,0.0,3.0,False,Biesdorf_Marzahn,77.3,0,"Blumberger Damm 10, 12683 Berlin, Germany"
80817,174.0,central_heating,True,True,40.0,1840.55,2019.0,115291013,True,True,1550.88,116.0,first_time_use,negotiable,True,apartment,4.0,2.0,6.0,False,Lichtenberg_Lichtenberg,116.0,0,"Bleckmannweg 7, 10367 Berlin, Germany"
80880,295.0,floor_heating,False,True,40.0,1480.0,1930.0,107298537,True,True,1185.0,85.26,first_time_use,no,True,ground_floor,2.0,0.0,4.0,False,Friedrichshain_Friedrichshain,70.25322618168907,0,"Fischzug 1A, 10245 Berlin, Germany"
80894,60.0,self_contained_central_heating,False,False,10.0,750.0,1910.0,107080539,True,False,690.0,37.0,first_time_use,no,False,apartment,1.0,4.0,4.0,False,Tiergarten_Tiergarten,35.126613090844536,0,"Emdener Straße 45, 10551 Berlin, Germany"
80944,500.0,district_heating,False,True,40.0,4900.0,2007.0,113643758,True,True,4400.0,174.49,refurbished,negotiable,True,penthouse,5.0,6.0,6.0,False,Mitte_Mitte,200.0,1,"Große-Präsidentenstraße 5, 10178 Berlin, Germany"
80947,199.0,floor_heating,True,True,40.0,1698.0,2019.0,115595960,True,True,1499.0,47.2,first_time_use,no,True,apartment,2.0,1.0,5.0,False,Charlottenburg_Charlottenburg,70.25322618168907,0,"Wegelystraße 4A, 10623 Berlin, Germany"
