noRooms,totalRent,livingSpace,balcony
1.0,560.0,35.0,False
2.0,689.0,64.0,False
3.0,725.21,62.01,True
4.0,1959.0,158.83,True
1.0,845.0,28.11,True
2.0,796.0,47.0,True
1.0,988.0,26.0,False
2.0,1440.0,63.0,True
3.0,1725.0,112.0,True
2.0,1437.26,61.16,True
3.0,1741.73,77.41,True
1.0,849.0,58.0,True
2.0,957.31,59.46,True
3.0,1056.0,88.2,True
1.5,570.49,47.17,True
5.0,2440.0,191.9,True
1.0,658.34,46.97,True
1.0,670.0,35.0,False
2.0,675.0,63.95,True
3.0,799.99,63.37,False
3.0,1550.0,100.0,True
2.0,705.0,63.0,True
4.0,2350.0,148.0,True
4.0,1640.7064523633785,115.4,True
2.0,1647.8,81.98,True
3.0,2695.0,119.0,True
4.0,1161.0,91.11,True
3.0,1839.78,81.95,True
2.0,648.85,54.88,False
4.5,1341.0,95.0,False
1.0,689.0,43.48,False
6.0,3212.96,230.36,True
1.0,999.0,30.98,False
2.0,1110.0,65.0,True
1.0,499.0,19.5,False
2.0,900.0,47.0,True
4.5,1991.6,193.87,True
5.0,2200.0,110.13,False
4.0,2195.6,109.78,True
2.0,1233.21,79.56,True
1.5,900.0,48.7,True
1.0,543.7,32.44,False
3.0,1985.0,123.4,False
1.5,561.0,39.77,True
3.0,2184.24,106.55,True
1.0,528.0,35.69,True
2.0,1269.28,56.76,True
2.0,710.0,60.18,True
2.0,754.61,54.5,False
3.0,1378.76,71.81,False
3.0,3593.17,139.27,False
2.0,666.0,54.0,False
3.0,2084.09,96.2,True
4.0,2195.6,110.0,True
3.0,2100.0,84.0,True
2.0,728.29,52.23,True
1.0,730.1266130908446,30.0,False
1.0,446.92,47.15,False
4.0,2956.2,147.81,True
2.0,853.85,65.96,True
2.0,1330.0,88.58,False
3.0,1617.0,88.4,True
4.0,1939.0,157.0,True
3.0,1592.55,103.3,True
3.0,990.0,73.54,False
4.0,1364.62,137.84,True
1.5,555.97,51.25,True
1.0,790.0,12.0,False
1.0,600.0,25.96,False
1.0,607.42,28.19,True
2.0,1020.0,71.11,False
1.0,510.53,26.87,True
7.0,3442.0,223.0,False
3.0,1140.0,69.0,False
2.0,667.28,54.25,True
1.0,670.0,39.9,True
2.0,1024.0,31.99,True
1.0,950.0,32.45,False
1.0,449.0,30.0,True
4.0,966.7,87.09,False
4.0,5250.0,214.0,True
2.0,955.0,48.31,True
2.0,607.86,54.99,True
2.0,1820.0,65.0,True
4.0,773.67,86.73,False
